State,category,value
Texas,Electoral Participation,34.599999999999994
Iowa,Electoral Participation,47.3
North Carolina,Electoral Participation,80.30000000000001
Indiana,Electoral Participation,56.10000000000001
South Dakota,Electoral Participation,55.400000000000006
Tennessee,Electoral Participation,21.9
Wisconsin,Electoral Participation,83.3
Minnesota,Electoral Participation,83.3
New Jersey,Electoral Participation,61.1
Rhode Island,Electoral Participation,58.099999999999994
Connecticut,Electoral Participation,75.1
Wyoming,Electoral Participation,58.099999999999994
Alabama,Electoral Participation,35.199999999999996
Kentucky,Electoral Participation,42.0
New Hampshire,Electoral Participation,48.8
Kansas,Electoral Participation,59.0
West Virginia,Electoral Participation,33.0
Pennsylvania,Electoral Participation,45.1
Maine,Electoral Participation,49.4
Louisiana,Electoral Participation,36.6
Vermont,Electoral Participation,63.6
Delaware,Electoral Participation,42.1
South Carolina,Electoral Participation,21.7
Colorado,Fair Representation,56.49999999999999
Oregon,Fair Representation,57.199999999999996
Washington,Fair Representation,60.0
California,Fair Representation,21.6
Maryland,Fair Representation,46.5
Alaska,Fair Representation,78.4
Ohio,Fair Representation,67.2
Montana,Fair Representation,65.0
Nevada,Fair Representation,62.3
Arkansas,Fair Representation,62.6
Florida,Fair Representation,61.5
Missouri,Fair Representation,61.1
Idaho,Fair Representation,59.099999999999994
Massachusetts,Fair Representation,1.7000000000000002
Oklahoma,Fair Representation,57.9
New Mexico,Fair Representation,51.2
Arizona,Fair Representation,49.6
Virginia,Fair Representation,60.0
Utah,Fair Representation,55.00000000000001
Nebraska,Fair Representation,64.8
Hawaii,Fair Representation,34.699999999999996
Illinois,Fair Representation,37.6
Georgia,Fair Representation,59.4
Mississippi,Fair Representation,60.199999999999996
New York,Fair Representation,72.39999999999999
Michigan,Fair Representation,72.2
North Dakota,Fair Representation,
Texas,Fair Representation,57.4
Iowa,Fair Representation,75.9
North Carolina,Fair Representation,58.599999999999994
Indiana,Fair Representation,62.3
South Dakota,Fair Representation,
Tennessee,Fair Representation,53.5
Wisconsin,Fair Representation,63.4
Minnesota,Fair Representation,61.0
New Jersey,Fair Representation,29.7
Rhode Island,Fair Representation,23.3
Connecticut,Fair Representation,3.3000000000000003
Wyoming,Fair Representation,
Alabama,Fair Representation,52.800000000000004
Kentucky,Fair Representation,57.3
New Hampshire,Fair Representation,32.300000000000004
Kansas,Fair Representation,62.1
West Virginia,Fair Representation,56.99999999999999
Pennsylvania,Fair Representation,69.3
Maine,Fair Representation,50.2
Louisiana,Fair Representation,22.2
Vermont,Fair Representation,
Delaware,Fair Representation,
South Carolina,Fair Representation,23.200000000000003
Colorado,Political Accountability,83.3
Oregon,Political Accountability,100.0
Washington,Political Accountability,83.3
California,Political Accountability,83.3
Maryland,Political Accountability,50.0
Alaska,Political Accountability,66.7
Ohio,Political Accountability,83.3
Montana,Political Accountability,100.0
Nevada,Political Accountability,100.0
Arkansas,Political Accountability,100.0
Florida,Political Accountability,50.0
Missouri,Political Accountability,83.3
Idaho,Political Accountability,83.3
Massachusetts,Political Accountability,80.0
Oklahoma,Political Accountability,83.3
New Mexico,Political Accountability,33.300000000000004
Arizona,Political Accountability,83.3
Virginia,Political Accountability,16.7
Utah,Political Accountability,66.7
Nebraska,Political Accountability,83.3
Hawaii,Political Accountability,16.7
Illinois,Political Accountability,50.0
Georgia,Political Accountability,50.0
Mississippi,Political Accountability,50.0
New York,Political Accountability,16.7
Michigan,Political Accountability,100.0
North Dakota,Political Accountability,100.0
Texas,Political Accountability,33.300000000000004
Iowa,Political Accountability,33.300000000000004
North Carolina,Political Accountability,33.300000000000004
Indiana,Political Accountability,33.300000000000004
South Dakota,Political Accountability,83.3
Tennessee,Political Accountability,33.300000000000004
Wisconsin,Political Accountability,50.0
Minnesota,Political Accountability,50.0
New Jersey,Political Accountability,16.7
Rhode Island,Political Accountability,20.0
Connecticut,Political Accountability,16.7
Wyoming,Political Accountability,66.7
Alabama,Political Accountability,33.300000000000004
Kentucky,Political Accountability,50.0
New Hampshire,Political Accountability,20.0
