state,variable,value
Arizona,congressional_money_percapita,0.680
Arkansas,congressional_money_percapita,0.764
California,congressional_money_percapita,0.562
Colorado,congressional_money_percapita,0.741
Connecticut,congressional_money_percapita,0.656
Delaware,congressional_money_percapita,0.899
Florida,congressional_money_percapita,0.721
Georgia,congressional_money_percapita,0.739
Hawaii,congressional_money_percapita,0.742
Idaho,congressional_money_percapita,1.000
Illinois,congressional_money_percapita,0.539
Indiana,congressional_money_percapita,0.803
Iowa,congressional_money_percapita,0.304
Kansas,congressional_money_percapita,0.506
Kentucky,congressional_money_percapita,0.806
Louisiana,congressional_money_percapita,0.539
Maine,congressional_money_percapita,0.537
Maryland,congressional_money_percapita,0.635
Massachusetts,congressional_money_percapita,0.728
Michigan,congressional_money_percapita,0.612
Minnesota,congressional_money_percapita,0.317
Mississippi,congressional_money_percapita,0.930
Missouri,congressional_money_percapita,0.838
Montana,congressional_money_percapita,0.000
Nebraska,congressional_money_percapita,0.695
Nevada,congressional_money_percapita,0.673
New Hampshire,congressional_money_percapita,0.263
New Jersey,congressional_money_percapita,0.655
New Mexico,congressional_money_percapita,0.426
New York,congressional_money_percapita,0.496
North Carolina,congressional_money_percapita,0.798
North Dakota,congressional_money_percapita,0.703
Ohio,congressional_money_percapita,0.597
Oklahoma,congressional_money_percapita,0.837
Oregon,congressional_money_percapita,0.758
Pennsylvania,congressional_money_percapita,0.613
Rhode Island,congressional_money_percapita,0.725
South Carolina,congressional_money_percapita,0.741
South Dakota,congressional_money_percapita,0.699
Tennessee,congressional_money_percapita,0.856
Texas,congressional_money_percapita,0.801
Utah,congressional_money_percapita,0.778
Vermont,congressional_money_percapita,0.967
Virginia,congressional_money_percapita,0.571
Washington,congressional_money_percapita,0.701
West Virginia,congressional_money_percapita,0.562
Wisconsin,congressional_money_percapita,0.595
Wyoming,congressional_money_percapita,0.845
Alabama,constitutional_initiative,0
Alaska,constitutional_initiative,0
Arizona,constitutional_initiative,1
Arkansas,constitutional_initiative,1
California,constitutional_initiative,1
Colorado,constitutional_initiative,1
Connecticut,constitutional_initiative,0
Delaware,constitutional_initiative,0
Florida,constitutional_initiative,1
Georgia,constitutional_initiative,0
Hawaii,constitutional_initiative,0
Idaho,constitutional_initiative,0
Illinois,constitutional_initiative,1
Indiana,constitutional_initiative,0
Iowa,constitutional_initiative,0
Kansas,constitutional_initiative,0
Kentucky,constitutional_initiative,0
Louisiana,constitutional_initiative,0
Maine,constitutional_initiative,0
Maryland,constitutional_initiative,0
Massachusetts,constitutional_initiative,1
Michigan,constitutional_initiative,1
Minnesota,constitutional_initiative,0
Mississippi,constitutional_initiative,0
Missouri,constitutional_initiative,1
Montana,constitutional_initiative,1
Nebraska,constitutional_initiative,1
Nevada,constitutional_initiative,1
New Hampshire,constitutional_initiative,0
New Jersey,constitutional_initiative,0
New Mexico,constitutional_initiative,0
New York,constitutional_initiative,0
North Carolina,constitutional_initiative,0
North Dakota,constitutional_initiative,1
Ohio,constitutional_initiative,1
Oklahoma,constitutional_initiative,1
Oregon,constitutional_initiative,1
Pennsylvania,constitutional_initiative,0
Rhode Island,constitutional_initiative,0
South Carolina,constitutional_initiative,0
South Dakota,constitutional_initiative,1
Tennessee,constitutional_initiative,0
Texas,constitutional_initiative,0
Utah,constitutional_initiative,0
Vermont,constitutional_initiative,0
Virginia,constitutional_initiative,0
Washington,constitutional_initiative,0
West Virginia,constitutional_initiative,0
Wisconsin,constitutional_initiative,0
Wyoming,constitutional_initiative,0
Alabama,court_curbing_bill,
Alaska,court_curbing_bill,
Arizona,court_curbing_bill,
Arkansas,court_curbing_bill,
California,court_curbing_bill,
Colorado,court_curbing_bill,
Connecticut,court_curbing_bill,
Delaware,court_curbing_bill,
Florida,court_curbing_bill,
Georgia,court_curbing_bill,
Hawaii,court_curbing_bill,
Idaho,court_curbing_bill,
Illinois,court_curbing_bill,
Indiana,court_curbing_bill,
Iowa,court_curbing_bill,
Kansas,court_curbing_bill,
Kentucky,court_curbing_bill,
Louisiana,court_curbing_bill,
Maine,court_curbing_bill,
Maryland,court_curbing_bill,
Massachusetts,court_curbing_bill,
Michigan,court_curbing_bill,
Minnesota,court_curbing_bill,
Mississippi,court_curbing_bill,
Missouri,court_curbing_bill,
Montana,court_curbing_bill,
Nebraska,court_curbing_bill,
Nevada,court_curbing_bill,
New Hampshire,court_curbing_bill,
New Jersey,court_curbing_bill,
New Mexico,court_curbing_bill,
New York,court_curbing_bill,
North Carolina,court_curbing_bill,
North Dakota,court_curbing_bill,
Ohio,court_curbing_bill,
Oklahoma,court_curbing_bill,
Oregon,court_curbing_bill,
Pennsylvania,court_curbing_bill,
Rhode Island,court_curbing_bill,
South Carolina,court_curbing_bill,
South Dakota,court_curbing_bill,
Tennessee,court_curbing_bill,
Texas,court_curbing_bill,
Utah,court_curbing_bill,
Vermont,court_curbing_bill,
Virginia,court_curbing_bill,
Washington,court_curbing_bill,
West Virginia,court_curbing_bill,
Wisconsin,court_curbing_bill,
Wyoming,court_curbing_bill,
Alabama,democratic_leaning,0.235
Alaska,democratic_leaning,0.410
Arizona,democratic_leaning,0.562
Arkansas,democratic_leaning,0.206
California,democratic_leaning,0.897
Colorado,democratic_leaning,0.737
Connecticut,democratic_leaning,0.814
Delaware,democratic_leaning,0.812
Florida,democratic_leaning,0.495
Georgia,democratic_leaning,0.588
Hawaii,democratic_leaning,0.928
Idaho,democratic_leaning,0.142
Illinois,democratic_leaning,0.768
Indiana,democratic_leaning,0.363
Iowa,democratic_leaning,0.451
Kansas,democratic_leaning,0.389
Kentucky,democratic_leaning,0.227
Louisiana,democratic_leaning,0.330
Maine,democratic_leaning,0.686
Maryland,democratic_leaning,0.974
Massachusetts,democratic_leaning,0.959
Michigan,democratic_leaning,0.601
Minnesota,democratic_leaning,0.657
Mississippi,democratic_leaning,0.343
Missouri,democratic_leaning,0.374
Montana,democratic_leaning,0.343
Nebraska,democratic_leaning,0.335
Nevada,democratic_leaning,0.582
New Hampshire,democratic_leaning,0.657
New Jersey,democratic_leaning,0.735
New Mexico,democratic_leaning,0.693
New York,democratic_leaning,0.830
North Carolina,democratic_leaning,0.564
North Dakota,democratic_leaning,0.126
Ohio,democratic_leaning,0.474
Oklahoma,democratic_leaning,0.152
Oregon,democratic_leaning,0.765
Pennsylvania,democratic_leaning,0.595
Rhode Island,democratic_leaning,0.807
South Carolina,democratic_leaning,0.405
South Dakota,democratic_leaning,0.224
Tennessee,democratic_leaning,0.253
Texas,democratic_leaning,0.472
Utah,democratic_leaning,0.296
Vermont,democratic_leaning,1.000
Virginia,democratic_leaning,0.691
Washington,democratic_leaning,0.809
West Virginia,democratic_leaning,0.070
Wisconsin,democratic_leaning,0.590
Wyoming,democratic_leaning,0.000
Alabama,divided_government,1
Alaska,divided_government,1
Arizona,divided_government,0
Arkansas,divided_government,1
California,divided_government,1
Colorado,divided_government,1
Connecticut,divided_government,1
Delaware,divided_government,1
Florida,divided_government,1
Georgia,divided_government,1
Hawaii,divided_government,1
Idaho,divided_government,1
Illinois,divided_government,1
Indiana,divided_government,1
Iowa,divided_government,1
Kansas,divided_government,0
Kentucky,divided_government,0
Louisiana,divided_government,1
Maine,divided_government,0
Maryland,divided_government,1
Massachusetts,divided_government,1
Michigan,divided_government,0
Minnesota,divided_government,0
Mississippi,divided_government,1
Missouri,divided_government,1
Montana,divided_government,1
Nebraska,divided_government,
Nevada,divided_government,0
New Hampshire,divided_government,1
New Jersey,divided_government,1
New Mexico,divided_government,1
New York,divided_government,1
North Carolina,divided_government,0
North Dakota,divided_government,1
Ohio,divided_government,1
Oklahoma,divided_government,1
Oregon,divided_government,1
Pennsylvania,divided_government,0
Rhode Island,divided_government,1
South Carolina,divided_government,1
South Dakota,divided_government,1
Tennessee,divided_government,1
Texas,divided_government,1
Utah,divided_government,1
Vermont,divided_government,0
Virginia,divided_government,1
Washington,divided_government,1
West Virginia,divided_government,1
Wisconsin,divided_government,0
Wyoming,divided_government,1
Alabama,divided_legislatures,1
Alaska,divided_legislatures,1
Arizona,divided_legislatures,1
Arkansas,divided_legislatures,1
California,divided_legislatures,1
Colorado,divided_legislatures,1
Connecticut,divided_legislatures,1
Delaware,divided_legislatures,1
Florida,divided_legislatures,1
Georgia,divided_legislatures,1
Hawaii,divided_legislatures,1
Idaho,divided_legislatures,1
Illinois,divided_legislatures,1
Indiana,divided_legislatures,1
Iowa,divided_legislatures,1
Kansas,divided_legislatures,1
Kentucky,divided_legislatures,1
Louisiana,divided_legislatures,1
Maine,divided_legislatures,0
Maryland,divided_legislatures,1
Massachusetts,divided_legislatures,1
Michigan,divided_legislatures,0
Minnesota,divided_legislatures,0
Mississippi,divided_legislatures,1
Missouri,divided_legislatures,1
Montana,divided_legislatures,1
Nebraska,divided_legislatures,
Nevada,divided_legislatures,1
New Hampshire,divided_legislatures,1
New Jersey,divided_legislatures,1
New Mexico,divided_legislatures,1
New York,divided_legislatures,1
North Carolina,divided_legislatures,1
North Dakota,divided_legislatures,1
Ohio,divided_legislatures,1
Oklahoma,divided_legislatures,1
Oregon,divided_legislatures,1
Pennsylvania,divided_legislatures,0
Rhode Island,divided_legislatures,1
South Carolina,divided_legislatures,1
South Dakota,divided_legislatures,1
Tennessee,divided_legislatures,1
Texas,divided_legislatures,1
Utah,divided_legislatures,1
Vermont,divided_legislatures,1
Virginia,divided_legislatures,1
Washington,divided_legislatures,1
West Virginia,divided_legislatures,1
Wisconsin,divided_legislatures,1
Wyoming,divided_legislatures,1
Alabama,elected_supreme_justice,1
Alaska,elected_supreme_justice,0
Arizona,elected_supreme_justice,0
Arkansas,elected_supreme_justice,1
California,elected_supreme_justice,0
Colorado,elected_supreme_justice,0
Connecticut,elected_supreme_justice,0
Delaware,elected_supreme_justice,0
Florida,elected_supreme_justice,0
Georgia,elected_supreme_justice,1
Hawaii,elected_supreme_justice,0
Idaho,elected_supreme_justice,1
Illinois,elected_supreme_justice,1
Indiana,elected_supreme_justice,0
Iowa,elected_supreme_justice,0
Kansas,elected_supreme_justice,0
Kentucky,elected_supreme_justice,1
Louisiana,elected_supreme_justice,1
Maine,elected_supreme_justice,0
Maryland,elected_supreme_justice,0
Massachusetts,elected_supreme_justice,0
Michigan,elected_supreme_justice,1
Minnesota,elected_supreme_justice,1
Mississippi,elected_supreme_justice,1
Missouri,elected_supreme_justice,0
Montana,elected_supreme_justice,1
Nebraska,elected_supreme_justice,0
Nevada,elected_supreme_justice,1
New Hampshire,elected_supreme_justice,0
New Jersey,elected_supreme_justice,0
New Mexico,elected_supreme_justice,0
New York,elected_supreme_justice,0
North Carolina,elected_supreme_justice,1
North Dakota,elected_supreme_justice,1
Ohio,elected_supreme_justice,1
Oklahoma,elected_supreme_justice,0
Oregon,elected_supreme_justice,1
Pennsylvania,elected_supreme_justice,1
Rhode Island,elected_supreme_justice,0
South Carolina,elected_supreme_justice,0
South Dakota,elected_supreme_justice,0
Tennessee,elected_supreme_justice,0
Texas,elected_supreme_justice,1
Utah,elected_supreme_justice,0
Vermont,elected_supreme_justice,0
Virginia,elected_supreme_justice,0
